30 10 2020	13 00	94745	94875	94620	94850
30 10 2020	13 05	94845	94880	94670	94730
30 10 2020	13 10	94735	94790	94560	94610
30 10 2020	13 15	94610	94820	94605	94710
30 10 2020	13 20	94710	94825	94630	94680
30 10 2020	13 25	94675	94875	94645	94865
30 10 2020	13 30	94865	94895	94620	94655
30 10 2020	13 35	94655	94705	94505	94560
30 10 2020	13 40	94555	94590	94420	94575
30 10 2020	13 45	94575	94670	94490	94625
30 10 2020	13 50	94625	94685	94490	94625
30 10 2020	13 55	94620	94645	94375	94385
30 10 2020	14 00	94385	94495	94310	94440
30 10 2020	14 05	94440	94450	94260	94310
30 10 2020	14 10	94315	94360	94220	94240
30 10 2020	14 15	94240	94330	94085	94235
30 10 2020	14 20	94240	94395	94210	94345
30 10 2020	14 25	94350	94500	94235	94480
30 10 2020	14 30	94480	94550	94375	94380
30 10 2020	14 35	94380	94430	94125	94175
30 10 2020	14 40	94175	94240	94095	94125
30 10 2020	14 45	94130	94385	94105	94350
30 10 2020	14 50	94355	94410	94280	94300
30 10 2020	14 55	94295	94480	94280	94475
30 10 2020	15 00	94475	94590	94430	94575
30 10 2020	15 05	94580	94750	94520	94680
30 10 2020	15 10	94675	94730	94320	94390
30 10 2020	15 15	94390	94565	94290	94520
30 10 2020	15 20	94525	94560	94350	94360
30 10 2020	15 25	94360	94390	94100	94185
30 10 2020	15 30	94180	94305	94070	94230
30 10 2020	15 35	94230	94310	94015	94255
30 10 2020	15 40	94250	94270	94105	94120
30 10 2020	15 45	94120	94250	94045	94215
30 10 2020	15 50	94215	94215	94020	94075
30 10 2020	15 55	94070	94145	93870	93990
30 10 2020	16 00	93990	93995	93630	93750
30 10 2020	16 05	93750	93815	93645	93785
30 10 2020	16 10	93780	93970	93770	93935
30 10 2020	16 15	93935	93975	93845	93905
30 10 2020	16 20	93905	94065	93875	94015
30 10 2020	16 25	94015	94045	93900	93915
30 10 2020	16 30	93915	93930	93775	93855
30 10 2020	16 35	93850	93855	93655	93755
30 10 2020	16 40	93760	93980	93685	93970
30 10 2020	16 45	93970	94120	93735	93800
30 10 2020	16 50	93800	93990	93795	93820
30 10 2020	16 55	93815	94105	93735	94070
30 10 2020	17 00	94070	94240	93960	94030
30 10 2020	17 05	94030	94155	93875	93900
30 10 2020	17 10	93895	94125	93855	94065
30 10 2020	17 15	94065	94225	93975	94205
30 10 2020	17 20	94205	94405	94200	94315
30 10 2020	17 25	94320	94495	94320	94455
30 10 2020	17 30	94460	94640	94330	94525
30 10 2020	17 35	94525	94625	94225	94515
30 10 2020	17 40	94520	94575	94295	94475
30 10 2020	17 45	94470	94545	94360	94460
30 10 2020	17 50	94465	94610	94350	94570
30 10 2020	18 00	94535	94535	94535	94535
03 11 2020	9 05	96090	96295	95845	95875
03 11 2020	9 10	95875	96025	95865	95890
03 11 2020	9 15	95890	95955	95745	95795
03 11 2020	9 20	95795	95935	95685	95880
03 11 2020	9 25	95885	95950	95845	95900
03 11 2020	9 30	95900	95985	95810	95885
03 11 2020	9 35	95885	95900	95720	95880
03 11 2020	9 40	95880	95920	95735	95820
03 11 2020	9 45	95815	95895	95760	95825
03 11 2020	9 50	95820	95920	95800	95800
03 11 2020	9 55	95805	95915	95780	95815
03 11 2020	10 00	95815	95865	95425	95585
